0,3693
1,0
2,0
3,0
4,0
5,0
6,3694
7,3686
8,3693
9,3690
10,3692
11,0
12,0
13,0
14,0
15,0
16,3692
17,3692
18,3691
19,3693
20,0
21,0
22,0
23,0
24,0
25,3687
26,3690
27,3693
28,3694
29,3693
30,0
31,0
32,0
33,0
34,0
35,3696
36,3694
37,3689
38,3693
39,3693
40,0
41,0
42,0
43,0
44,0
45,3693
46,3692
47,3694
48,3690
49,3687
50,0
51,0
52,0
53,0
54,0
55,3689
56,3692
57,3695
58,3690
59,3694
60,0
61,0
62,0
63,0
64,0
65,3696
66,3691
67,3692
68,3696
69,3692
70,0
71,0
72,0
73,0
74,0
75,3691
76,3693
77,3691
78,3693
79,3691
80,0
81,0
82,0
83,0
84,0
85,3688
86,3690
87,3689
88,3688
89,3692
90,0
91,0
92,0
93,0
94,0
95,3694
96,3695
97,3692
98,3692
99,3692
