0,2702
1,1032
2,2699
3,1018
4,2727
5,1007
6,2734
7,990
8,2760
9,978
10,2762
11,945
12,2779
13,929
14,2800
15,922
16,2826
17,921
18,2820
19,903
20,2839
21,883
22,2853
23,872
24,2870
25,856
26,2871
27,850
28,2893
29,829
30,2904
31,804
32,2926
33,801
34,2927
35,786
36,2950
37,782
38,2963
39,768
40,2978
41,745
42,3002
43,731
44,2997
45,720
46,3013
47,714
48,3037
49,708
50,3042
51,678
52,3058
53,674
54,3074
55,673
56,3077
57,641
58,3099
59,638
60,3104
61,622
62,3114
63,618
64,3123
65,608
66,3148
67,584
68,3142
69,565
70,3172
71,557
72,3185
73,556
74,3181
75,538
76,3196
77,530
78,3199
79,517
80,3213
81,520
82,3230
83,500
84,3233
85,473
86,3249
87,469
88,3263
89,465
90,3272
91,456
92,3282
93,445
94,3277
95,430
96,3300
97,435
98,3324
99,365
