0,0
1,3697
2,0
3,3698
4,0
5,3695
6,0
7,3690
8,0
9,3694
10,0
11,3695
12,0
13,3693
14,0
15,3694
16,0
17,3697
18,0
19,3695
20,0
21,3698
22,0
23,3695
24,0
25,3696
26,0
27,3698
28,0
29,3691
30,0
31,3695
32,0
33,3694
34,0
35,3697
36,0
37,3695
38,0
39,3693
40,0
41,3700
42,0
43,3695
44,0
45,3695
46,0
47,3697
48,0
49,3693
50,0
51,3698
52,0
53,3698
54,0
55,3694
56,0
57,3696
58,0
59,3697
60,0
61,3701
62,0
63,3700
64,0
65,3698
66,0
67,3695
68,0
69,3698
70,0
71,3694
72,0
73,3696
74,0
75,3695
76,0
77,3699
78,0
79,3697
80,0
81,3694
82,0
83,3696
84,0
85,3693
86,0
87,3695
88,0
89,3693
90,0
91,3696
92,0
93,3694
94,0
95,3693
96,0
97,3698
98,0
99,3692
