0,3697
1,44
2,3696
3,51
4,3695
5,45
6,3699
7,52
8,3700
9,58
10,3692
11,53
12,3698
13,46
14,3696
15,58
16,3688
17,38
18,3690
19,41
20,3700
21,41
22,3697
23,39
24,3701
25,58
26,3682
27,38
28,3693
29,56
30,3686
31,39
32,3687
33,39
34,3699
35,36
36,3690
37,46
38,3691
39,52
40,3691
41,39
42,3695
43,38
44,3683
45,49
46,3697
47,37
48,3690
49,45
50,3711
51,57
52,3687
53,39
54,3691
55,41
56,3696
57,50
58,3689
59,46
60,3697
61,48
62,3686
63,46
64,3697
65,49
66,3687
67,50
68,3691
69,34
70,3692
71,58
72,3691
73,45
74,3694
75,53
76,3709
77,42
78,3689
79,52
80,3704
81,42
82,3687
83,44
84,3689
85,52
86,3698
87,34
88,3695
89,45
90,3703
91,42
92,3692
93,47
94,3696
95,32
96,3708
97,52
98,3696
99,47
